UNIVERSO,NIVEL_1,NIVEL_2,NIVEL_3,SKUS,SKUS_COM_CUSTO,LINHAS_VENDA,RECEITA_TOTAL,QTD_ARM_TOTAL,RECEITA_COM_CUSTO,QTD_ARM_COM_CUSTO,CMV,PRECO_PRATICADO_ARM,PRECO_PRATICADO_ARM_COM_CUSTO,CUSTO_MEDIO_ARM_PONDERADO,MARGEM_BRUTA_RS_UNIT,MARGEM_BRUTA_TOTAL,MARGEM_BRUTA_PCT,MARKUP_PONDERADO,COBERTURA_CUSTO_RECEITA_PCT,PART_RECEITA_UNIVERSO_PCT
REDE_FISICA_SEM_LOJA93,E - MATERIAIS ELETRICOS,EK - PROTECAO DE EQUIPAMENTOS ELETRICOS,EKA - FILTROS DE LINHA,3,0,4693,853744.242156,24328.000000,0.000000,0.000000,0.000000,35.093071,,,,0.000000,,,0.000000,0.259312
REDE_FISICA_SEM_LOJA93,U - METAIS E ACESSORIOS,"UB - TORNEIRAS, BICAS E MISTURADORES",UBA - TORNEIRAS COZINHA PIA,7,0,1938,846044.010651,8577.000000,0.000000,0.000000,0.000000,98.641018,,,,0.000000,,,0.000000,0.256973
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BJ - JOGOS E CONJUNTOS PARA SERVIR,BJB - CONJUNTOS DE TALHERES,4,0,2347,830228.400750,4016.000000,0.000000,0.000000,0.000000,206.730179,,,,0.000000,,,0.000000,0.252169
REDE_FISICA_SEM_LOJA93,W - LOUCAS E PIAS,WB - CUBAS E PIAS,WBB - CUBAS E PIAS PARA COZINHA,5,0,1889,819445.949000,2708.000000,0.000000,0.000000,0.000000,302.601901,,,,0.000000,,,0.000000,0.248894
REDE_FISICA_SEM_LOJA93,U - METAIS E ACESSORIOS,"UB - TORNEIRAS, BICAS E MISTURADORES",UBM - TORNEIRAS COZINHA PAREDE,4,0,1844,786784.723518,9348.000000,0.000000,0.000000,0.000000,84.166102,,,,0.000000,,,0.000000,0.238974
REDE_FISICA_SEM_LOJA93,O - MOVEIS,OF - ESCRITORIO,OFA - MESAS PARA ESCRITORIO,10,0,1669,773876.537000,1939.000000,0.000000,0.000000,0.000000,399.111159,,,,0.000000,,,0.000000,0.235053
REDE_FISICA_SEM_LOJA93,M - MAQUINAS E MOTORES,MF - AGRICOLAS E JARDINAGEM,MFA - ROCADEIRAS,3,0,199,747685.963500,219.000000,0.000000,0.000000,0.000000,3414.091158,,,,0.000000,,,0.000000,0.227098
REDE_FISICA_SEM_LOJA93,M - MAQUINAS E MOTORES,MF - AGRICOLAS E JARDINAGEM,MFD - FORRAGEIRAS,1,0,447,747484.269000,554.000000,0.000000,0.000000,0.000000,1349.249583,,,,0.000000,,,0.000000,0.227037
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BA - COZINHAR,BAG - CUSCUZEIRAS E COZI-VAPOR,4,0,4948,743482.101250,8645.000000,0.000000,0.000000,0.000000,86.001400,,,,0.000000,,,0.000000,0.225821
REDE_FISICA_SEM_LOJA93,A - AUTOMOTIVO,AD - LUBRIFICANTES E ADITIVOS,ADA - OLEOS LUBRIFICANTES AUTOMOTIVOS,4,0,3005,737055.500250,15873.000000,0.000000,0.000000,0.000000,46.434543,,,,0.000000,,,0.000000,0.223869
REDE_FISICA_SEM_LOJA93,V - DECORACAO,VG - TAPETES,VGA - TAPETE DE SALA E PASSADEIRA,19,0,6343,695030.367500,9681.000000,0.000000,0.000000,0.000000,71.793241,,,,0.000000,,,0.000000,0.211105
REDE_FISICA_SEM_LOJA93,N - INDUSTRIAL E NEGOCIOS,NA - COZINHA INDUSTRIAL,NAA - FOGOES,11,0,505,657699.903000,537.000000,0.000000,0.000000,0.000000,1224.767045,,,,0.000000,,,0.000000,0.199766
REDE_FISICA_SEM_LOJA93,F - FERRAMENTAS,"FA - GOLPE, PERFURACAO E FIXACAO ELETRICA",FAA - FURADEIRAS E PARAFUSADEIRAS ELETRICAS,4,0,1409,611972.508000,2796.000000,0.000000,0.000000,0.000000,218.874288,,,,0.000000,,,0.000000,0.185877
REDE_FISICA_SEM_LOJA93,V - DECORACAO,VG - TAPETES,VGC - TAPETES E CAPACHOS DE ENTRADA,9,0,8078,608475.342273,29970.000000,0.000000,0.000000,0.000000,20.302814,,,,0.000000,,,0.000000,0.184815
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BL - LAVANDERIA,BLF - TABUAS DE PASSAR,2,0,2162,600459.251583,5865.000000,0.000000,0.000000,0.000000,102.380094,,,,0.000000,,,0.000000,0.182380
REDE_FISICA_SEM_LOJA93,S - TINTAS E QUIMICOS,SF - SELADORES E VERNIZES,SFA - SELADORES,1,0,1258,578857.562500,2433.000000,0.000000,0.000000,0.000000,237.919261,,,,0.000000,,,0.000000,0.175819
REDE_FISICA_SEM_LOJA93,N - INDUSTRIAL E NEGOCIOS,NC - PROCESSADORES INDUSTRIAIS,NCB - LIQUIDIFICADORES,10,0,481,564635.820000,521.000000,0.000000,0.000000,0.000000,1083.753973,,,,0.000000,,,0.000000,0.171499
REDE_FISICA_SEM_LOJA93,S - TINTAS E QUIMICOS,SA - TINTAS,SAC - TINTAS ESMALTE,8,0,3739,563797.466000,8706.000000,0.000000,0.000000,0.000000,64.759645,,,,0.000000,,,0.000000,0.171245
REDE_FISICA_SEM_LOJA93,W - LOUCAS E PIAS,WA - BACIAS E CAIXAS,WAA - BACIAS SANITARIAS,20,0,897,560272.440000,1060.000000,0.000000,0.000000,0.000000,528.558906,,,,0.000000,,,0.000000,0.170174
REDE_FISICA_SEM_LOJA93,M - MAQUINAS E MOTORES,MJ - MARCENARIA,MJA - SERRAS ELETRICAS E CIRCULARES DE BANCADA,2,0,271,540657.904500,284.000000,0.000000,0.000000,0.000000,1903.725016,,,,0.000000,,,0.000000,0.164217
REDE_FISICA_SEM_LOJA93,O - MOVEIS,OD - COZINHA E AREA DE SERVICO,ODC - BALCOES E GABINETES PARA COZINHA,17,0,587,538885.231500,635.000000,0.000000,0.000000,0.000000,848.638160,,,,0.000000,,,0.000000,0.163678
REDE_FISICA_SEM_LOJA93,D - ELETROS,DC - ELETRODOMESTICOS PARA COZINHA,DCE - COIFAS E DEPURADORES,10,0,337,536277.493500,361.000000,0.000000,0.000000,0.000000,1485.533223,,,,0.000000,,,0.000000,0.162886
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BD - ORGANIZAR,BDF - CESTAS ORGANIZADORAS,12,0,12867,534813.056625,38529.000000,0.000000,0.000000,0.000000,13.880793,,,,0.000000,,,0.000000,0.162441
REDE_FISICA_SEM_LOJA93,Q - BASICOS CONSTRUCAO,QJ - SUPORTES,QJC - SUPORTES FIXOS PARA PRATELEIRA,10,0,9207,533283.252250,41004.000000,0.000000,0.000000,0.000000,13.005640,,,,0.000000,,,0.000000,0.161977
REDE_FISICA_SEM_LOJA93,"K - CAMA, MESA E BANHO",KB - MESA,KBH - PANOS DE COPA E FOGAO,15,0,11548,533196.454750,41316.000000,0.000000,0.000000,0.000000,12.905326,,,,0.000000,,,0.000000,0.161950
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BK - HIGIENE E LIMPEZA,BKA - LIXEIRAS,10,0,5287,524909.231000,8853.000000,0.000000,0.000000,0.000000,59.291679,,,,0.000000,,,0.000000,0.159433
REDE_FISICA_SEM_LOJA93,"K - CAMA, MESA E BANHO",KA - CAMA,KAI - FRONHAS,11,0,5163,494001.234000,20406.000000,0.000000,0.000000,0.000000,24.208627,,,,0.000000,,,0.000000,0.150045
REDE_FISICA_SEM_LOJA93,U - METAIS E ACESSORIOS,UA - DUCHAS E CHUVEIROS,UAB - RESISTENCIAS ELETRICAS,12,0,5741,487320.731250,11158.000000,0.000000,0.000000,0.000000,43.674559,,,,0.000000,,,0.000000,0.148016
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BB - SERVIR - PRESENTES,"BBK - JARRAS, GARRAFAS E DECANTERS - PRESENTES",15,0,7126,474241.017250,14012.000000,0.000000,0.000000,0.000000,33.845348,,,,0.000000,,,0.000000,0.144043
REDE_FISICA_SEM_LOJA93,S - TINTAS E QUIMICOS,SC - ADERENTES E VEDADORES,"SCC - ADESIVOS, MASSAS E COLAS",7,0,6117,473935.554750,11429.000000,0.000000,0.000000,0.000000,41.467806,,,,0.000000,,,0.000000,0.143951
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BB - SERVIR - PRESENTES,BBL - SALADEIRAS E TIGELAS - PRESENTES,10,0,4819,465913.428444,35012.000000,0.000000,0.000000,0.000000,13.307250,,,,0.000000,,,0.000000,0.141514
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BE - ARMAZENAR,BEC - POTES - PRESENTES,23,0,8496,457152.892000,16738.000000,0.000000,0.000000,0.000000,27.312277,,,,0.000000,,,0.000000,0.138853
REDE_FISICA_SEM_LOJA93,V - DECORACAO,VC - OBJETOS PARA JARDIM,VCB - GRAMAS ARTIFICIAS,3,0,1395,421659.241500,2587.000000,0.000000,0.000000,0.000000,162.991589,,,,0.000000,,,0.000000,0.128073
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BB - SERVIR - PRESENTES,BBI - BULES E GARRAFAS TERMICAS,10,0,5737,404118.425500,10421.000000,0.000000,0.000000,0.000000,38.779237,,,,0.000000,,,0.000000,0.122745
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BB - SERVIR - PRESENTES,BBG - TACAS - PRESENTES,13,0,3673,392029.951469,28801.000000,0.000000,0.000000,0.000000,13.611678,,,,0.000000,,,0.000000,0.119073
REDE_FISICA_SEM_LOJA93,U - METAIS E ACESSORIOS,UC - ACESSORIOS PARA BANHEIRO,UCK - ESTRADOS PARA BANHEIRO,2,0,2083,360913.595000,3228.000000,0.000000,0.000000,0.000000,111.807186,,,,0.000000,,,0.000000,0.109622
REDE_FISICA_SEM_LOJA93,O - MOVEIS,OC - QUARTO,OCL - CONJUNTOS DE CAMA BOX,1,0,330,359390.745000,545.000000,0.000000,0.000000,0.000000,659.432560,,,,0.000000,,,0.000000,0.109159
