UNIVERSO,CODIGO,DESCRICAO,NIVEL_1,NIVEL_2,NIVEL_3,RECEITA,QTD_ARMAZENAGEM,LOJAS_ATIVAS,CUSTO_MEDIO_ARM,PRECO_COMPRA_PONDERADO_UNID_COMPRA,CONVERSAO_COMPRA_ARMAZENAGEM,COMPRAS_LINHAS_COM_PRECO,PRECO_PRATICADO_ARM,MARGEM_BRUTA_RS,MARGEM_BRUTA_PCT,MARKUP,FLAG_MARGEM_NEGATIVA,PART_RECEITA_UNIVERSO_PCT,CURVA_ABC_RECEITA,RANK_RECEITA
REDE_COMPLETA,470178,LAV.ROUPA 13.0KG BWK13A9     PR M220,D - ELETROS,DD - LAVADORAS E SECADORES,DDA - LAVADORAS DE ROUPAS,460041.435000,191.000000,8,1268.022400,1268.022400,1.000000,1,2408.593901,1140.571501,47.354247,1.899488,0,0.095342,A,191.000000
REDE_COMPLETA,469421,CADEIRA FIBRA DIANA               PL,O - MOVEIS,OA - SALA DE ESTAR E JANTAR,OAW - CADEIRAS PARA SALA E COZINHA,456130.017000,2743.000000,9,100.373200,100.373200,1.000000,2,166.288741,65.915541,39.639209,1.656705,0,0.094532,A,193.000000
REDE_COMPLETA,474264,"PORCEL.A 60X60 EPO.LINK GRY.RT1,80M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAB - PORCELANATOS,455788.865700,5538.600000,10,38.446000,38.446000,1.000000,10,82.293155,43.847155,53.281655,2.140487,0,0.094461,A,194.000000
REDE_COMPLETA,467967,COND.SPLIT 18000 COND.38AGVC INV.159,D - ELETROS,DA - AR E VENTILACAO,DAQ - AR CONDICIONADO SPLIT INVERTER,453433.307250,157.000000,10,1803.982200,1803.982200,1.000000,1,2888.110237,1084.128037,37.537627,1.600964,0,0.093973,A,195.000000
REDE_COMPLETA,454965,LAV.ROUPA 14KG DIG LED14   BR M127,D - ELETROS,DD - LAVADORAS E SECADORES,DDA - LAVADORAS DE ROUPAS,423232.089000,198.000000,4,1244.202800,1244.202800,1.000000,1,2137.535803,893.333003,41.792657,1.717996,0,0.087714,A,204.000000
REDE_COMPLETA,440063,"REVEST.A 45X90 FOLHAS BIANCO  2,00M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAC - REVESTIMENTOS,416461.815000,3660.000000,10,41.679600,41.679600,1.000000,1,113.787381,72.107781,63.370631,2.730050,0,0.086311,A,212.000000
REDE_COMPLETA,470234,"CER.A 63X63 PSI63660R      P4 2,79M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAA - PISOS CERAMICOS,412317.571900,11235.330000,9,13.160000,13.160000,1.000000,4,36.698305,23.538305,64.140034,2.788625,0,0.085452,A,215.000000
REDE_COMPLETA,475293,REFLETOR LED AL.200W         5959 BR,I - ILUMINACAO,ID - JARDIM,IDE - REFLETORES,388304.042000,2296.000000,9,67.830400,67.830400,1.000000,10,169.121970,101.291570,59.892615,2.493306,0,0.080475,A,226.000000
REDE_COMPLETA,471923,ARAND.LED SOB. SIERRA  6W BR AM MBIV,I - ILUMINACAO,IB - RESIDENCIAL,IBD - ARANDELAS RESIDENCIAIS,387632.208250,7130.000000,9,20.420000,20.420000,1.000000,20,54.366369,33.946369,62.440015,2.662408,0,0.080336,A,227.000000
REDE_COMPLETA,447235,LUSTRE MET.      PA-02  6LP  DO 5078,I - ILUMINACAO,IB - RESIDENCIAL,IBA - LUSTRES E PENDENTES,355679.593500,570.000000,9,247.267000,247.267000,1.000000,10,623.999287,376.732287,60.373833,2.523585,0,0.073714,A,246.000000
REDE_COMPLETA,347294,"REVEST.A 33X50 RVI62080    P2 2,48M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAC - REVESTIMENTOS,352759.378800,11492.320000,10,13.630000,13.630000,1.000000,1,30.695228,17.065228,55.595703,2.252034,0,0.073108,A,248.000000
