UNIVERSO,CODIGO,EMBALAGEM,DESCRICAO,NIVEL_1,LOJAS,RECEITA,PRECO_ARM_MEDIO,PRECO_ARM_MEDIANA,PRECO_ARM_DESVPAD,PRECO_ARM_MIN,PRECO_ARM_MAX,CV_PRECO,AMPLITUDE_PCT,FLAG_DISPERSAO_ALTA
REDE_COMPLETA,430297,0,BALCAO COZ.1.20 1P/4G  FRJ/GRF 500343,O - MOVEIS,10,124142.077500,1278.218200,1309.948500,181.703655,1023.678250,1574.895000,0.142154,43.123838,0
REDE_COMPLETA,458433,0,COND.SPLIT 9000 COND.HBFE09  INV.123,D - ELETROS,4,14027.359500,1125.212288,1066.590000,159.909396,1006.451250,1361.217900,0.142115,31.528864,0
REDE_COMPLETA,343018,0,"CER.A 10X10 ACETI.10040 TL P2 1,44M2",C - PISOS E REVESTIMENTOS,6,154174.262760,52.261842,53.005492,7.427164,42.413240,61.172464,0.142114,35.894686,0
REDE_COMPLETA,457102,0,CAPACHO F.COCO 30X60       SORTIDO 2,V - DECORACAO,9,56375.760000,47.920479,46.095000,6.800300,43.356121,65.520000,0.141908,46.251371,0
REDE_COMPLETA,458291,0,SPOT LED TRILHO AM   6W      PT MBIV,I - ILUMINACAO,8,18090.555000,46.731713,47.414676,6.622900,37.668305,55.060385,0.141722,37.216867,0
REDE_COMPLETA,446696,0,BALCAO COZ. MDF CANTO FRJ/OFW 500333,O - MOVEIS,8,38538.570000,654.807891,677.589062,92.706159,464.546250,734.895000,0.141578,41.286728,0
REDE_COMPLETA,459256,0,CURVA 90 LISA CONDULETE  3/4 ELECTR.,E - MATERIAIS ELETRICOS,9,23507.788500,12.233814,12.458425,1.731740,9.345000,15.791774,0.141554,52.696355,0
REDE_COMPLETA,458440,0,COND.SPLIT 12000 COND.VUFE12     126,D - ELETROS,7,31533.705000,1206.306250,1126.282500,170.724947,1093.015000,1553.475000,0.141527,38.171070,0
REDE_COMPLETA,463933,0,FRIGOBAR 45L MRCO6B2         BR M220,D - ELETROS,8,213451.842975,1142.473533,1180.558875,161.591246,786.750095,1331.295000,0.141440,47.663678,0
REDE_COMPLETA,421215,0,PANELEIRO 80CM 3P/1G       OFW001318,O - MOVEIS,2,6298.425000,1049.737500,1049.737500,148.269685,944.895000,1154.580000,0.141245,19.974994,0
REDE_COMPLETA,458439,0,COND.SPLIT 12000 EVAP.VUFI12     126,D - ELETROS,7,21985.215000,726.309167,752.771250,102.144091,501.526667,805.315000,0.140634,41.826311,0
REDE_COMPLETA,278467,0,LIQUID.INDL  25L 1HP     LB25MB M220,N - INDUSTRIAL E NEGOCIOS,7,124470.465000,2385.295938,2416.711500,333.832346,1931.706000,2825.550000,0.139954,37.473086,0
REDE_COMPLETA,429472,0,INT.PAR CJ.2S    10A LGX202      POP,E - MATERIAIS ELETRICOS,9,45116.102500,23.070746,21.872586,3.227595,20.393516,28.462925,0.139900,34.976800,0
REDE_COMPLETA,399746,0,MANG.PLS JG CRISTALFLEX JARD.VM  20M,J - JARDINAGEM,9,4156.005000,81.417222,83.895000,11.368765,52.395000,90.195000,0.139636,46.427524,0
REDE_COMPLETA,461150,0,REFRIG. 2P 400L FF BRM54JBB  BR M220,D - ELETROS,8,2880852.340625,3499.366795,3590.583352,486.223830,2519.895000,4164.265000,0.138946,46.990501,0
REDE_COMPLETA,481248,0,VASO DEC VID 22X10CM AMBA  56024-261,V - DECORACAO,6,6866.370000,82.362235,80.103333,11.429410,68.752895,99.645000,0.138770,37.507609,0
REDE_COMPLETA,435055,0,LIVRO FISHER PRICE MESVERSARIO  7312,"L - INFANTIL, LAZER E PETS",6,321.079500,6.980653,6.895000,0.967799,5.961667,8.645000,0.138640,38.439576,0
REDE_COMPLETA,459691,0,"REVEST.A 45X90 TROPICAL       2,00M2",C - PISOS E REVESTIMENTOS,9,81651.507000,97.354074,99.603000,13.491420,78.453900,114.450000,0.138581,36.974416,0
REDE_COMPLETA,405098,0,CAPA ALM.43X43 LISA FELPUDA  CAP-F72,V - DECORACAO,9,49784.770000,20.202542,19.387574,2.799514,17.797500,26.856513,0.138572,44.840957,0
REDE_COMPLETA,440872,0,"REVEST.A 45X90 FORME BIANCO   2,00M2",C - PISOS E REVESTIMENTOS,7,46367.160000,91.839540,95.595000,12.692678,68.145000,104.941667,0.138205,40.066257,0
REDE_COMPLETA,452087,0,PRATO RASO CER. 26CM RENASCENCA 4574,B - UTILIDADES DOMESTICAS,8,9255.015000,27.902958,29.636250,3.855026,20.754219,31.395000,0.138158,38.134956,0
REDE_COMPLETA,467256,0,VENT.COL 40CM 3V VTX-40C  PT/AZ M220,D - ELETROS,7,84011.111500,258.470365,247.922027,35.647022,202.654083,306.705000,0.137915,40.256420,0
REDE_COMPLETA,446660,0,"PORCEL.A 60X120ESM.CALI.WH EXT1,44M2",C - PISOS E REVESTIMENTOS,8,92553.451200,149.761514,151.653933,20.650712,118.005000,180.495000,0.137891,41.726341,0
REDE_COMPLETA,348807,0,"CER.A 46X46 PSI62650       P5 2,58M2",C - PISOS E REVESTIMENTOS,10,237843.359775,30.518816,29.357783,4.208141,25.217222,38.243800,0.137887,42.683759,0
REDE_COMPLETA,475225,0,LUMI.EXT.AL. TARTARUGA C/GRADE RD PT,I - ILUMINACAO,9,25990.030500,11.461908,11.507236,1.577668,9.888761,15.039302,0.137644,44.936158,0
REDE_COMPLETA,343684,0,ABRACAD.PLS P/TUBO 15 A 35MM,E - MATERIAIS ELETRICOS,6,813.529500,3.996695,4.211958,0.549858,2.949130,4.383522,0.137578,35.889438,0
REDE_COMPLETA,453443,0,VENT.COL. 40CM VT-40C-NB  PT/PR M220,D - ELETROS,7,8576.820000,258.629196,260.295000,35.526949,207.645000,317.047500,0.137366,42.300909,0
REDE_COMPLETA,425811,0,COND.SPLIT  9000 EVAP. 42TFCA09S5 81,D - ELETROS,6,5784.765000,574.469000,599.445000,78.370589,431.739000,642.495000,0.136423,36.687097,0
REDE_COMPLETA,449084,0,FRIGIDEIRA GRILL 28CM           5137,B - UTILIDADES DOMESTICAS,5,26059.309500,136.695680,148.052316,18.645588,116.424000,154.192500,0.136402,27.629622,0
REDE_COMPLETA,446688,0,BUFFET 1.60X0.78 4P         OFF/NOCE,O - MOVEIS,9,40243.980000,910.616000,918.172500,124.196097,720.580000,1084.895000,0.136387,40.007533,0
REDE_COMPLETA,419437,0,ARAND.LED PLS.   PT 3W QD   AM 18549,I - ILUMINACAO,9,205932.090000,60.108760,58.098521,8.189044,50.784267,74.193697,0.136237,38.945121,0
REDE_COMPLETA,453551,0,PNEU 215/65R16 DIRECTION  102H110198,A - AUTOMOTIVO,3,9463.965000,832.292222,776.136667,113.338985,757.995000,962.745000,0.136177,24.600735,0
REDE_COMPLETA,421659,0,PRATO RASO CER.26CM         VM 88335,B - UTILIDADES DOMESTICAS,6,32492.140000,15.907057,16.320000,2.165774,12.474447,18.585000,0.136152,38.414099,0
REDE_COMPLETA,489642,0,TV LED 75 UHD SMT 4K        75UT8050,R - ELETRONICOS,11,971999.563500,4971.874654,4793.950000,675.342380,4198.950000,6734.700000,0.135833,51.001889,0
REDE_COMPLETA,447270,0,LUSTRE LED 3EM1  3W   DO NTL001 5302,I - ILUMINACAO,9,33432.210000,304.655243,307.545000,41.354998,252.128333,376.465385,0.135744,40.812379,0
REDE_COMPLETA,431662,0,"PORCEL.A 60X60 EBR.MISSOURI GR2,15M2",C - PISOS E REVESTIMENTOS,5,7586.464200,56.969342,60.795000,7.727134,43.766710,62.895000,0.135637,33.576464,0
REDE_COMPLETA,388537,0,PORTA MAD.LISA 090X210WENGUE PREMIUM,"G - PORTAS, JANELAS E FECHADURAS",5,7433.265000,442.951250,421.286250,60.054152,381.465000,515.445000,0.135577,30.247121,0
REDE_COMPLETA,463588,0,ARMARIO AEREO 1.20 2P       BR 500688,O - MOVEIS,4,22109.430000,772.947656,786.520000,104.669989,637.809375,880.941250,0.135417,31.455154,0
REDE_COMPLETA,133332,0,FORNO INDL.AVULSO        EXTRA   F6I,N - INDUSTRIAL E NEGOCIOS,9,27517.980000,898.411222,866.145000,121.500398,667.395000,1057.770000,0.135239,43.451706,0
