UNIVERSO,ACAO_PRIMARIA,NIVEL_1,PARES,SKUS,RECEITA_HISTORICA,VALOR_FINANCEIRO_CONHECIDO
REDE_COMPLETA,REPRECIFICAR,S - TINTAS E QUIMICOS,5,4,165592.906500,
REDE_COMPLETA,REPRECIFICAR,T - ARTIGOS DE EPOCA,5,1,111624.254167,
REDE_COMPLETA,REPRECIFICAR,M - MAQUINAS E MOTORES,4,2,107556.855000,
REDE_COMPLETA,REPRECIFICAR,F - FERRAMENTAS,1,1,18731.055000,
REDE_COMPLETA,REPRECIFICAR,H - TUBOS E CONEXOES,1,1,3.244500,
REDE_COMPLETA,REPRECIFICAR,J - JARDINAGEM,1,1,52.395000,
REDE_COMPLETA,REPRECIFICAR,"L - INFANTIL, LAZER E PETS",1,1,19741.470000,
REDE_FISICA_SEM_LOJA93,COMPRAR,B - UTILIDADES DOMESTICAS,3617,524,15686022.093534,78023.694200
REDE_FISICA_SEM_LOJA93,COMPRAR,"K - CAMA, MESA E BANHO",2921,355,18944074.256464,32729.352400
REDE_FISICA_SEM_LOJA93,COMPRAR,C - PISOS E REVESTIMENTOS,2017,325,52378619.776371,1221125.085600
REDE_FISICA_SEM_LOJA93,COMPRAR,D - ELETROS,1600,283,56274015.725060,1497360.892800
REDE_FISICA_SEM_LOJA93,COMPRAR,I - ILUMINACAO,1563,211,19742021.604382,1034042.254171
REDE_FISICA_SEM_LOJA93,COMPRAR,O - MOVEIS,1352,193,11221694.165500,336892.362200
REDE_FISICA_SEM_LOJA93,COMPRAR,U - METAIS E ACESSORIOS,1066,141,17956964.606775,58516.579200
REDE_FISICA_SEM_LOJA93,COMPRAR,V - DECORACAO,1008,127,6989512.028068,3671.358000
REDE_FISICA_SEM_LOJA93,COMPRAR,E - MATERIAIS ELETRICOS,841,109,9453120.960953,259869.025400
REDE_FISICA_SEM_LOJA93,COMPRAR,W - LOUCAS E PIAS,649,90,4582281.791500,8075.126400
REDE_FISICA_SEM_LOJA93,COMPRAR,S - TINTAS E QUIMICOS,547,65,18713886.871468,
REDE_FISICA_SEM_LOJA93,COMPRAR,N - INDUSTRIAL E NEGOCIOS,475,72,3587858.736000,
REDE_FISICA_SEM_LOJA93,COMPRAR,"G - PORTAS, JANELAS E FECHADURAS",254,39,4290302.853500,29661.700000
REDE_FISICA_SEM_LOJA93,COMPRAR,"L - INFANTIL, LAZER E PETS",206,27,740921.583500,56545.775200
REDE_FISICA_SEM_LOJA93,COMPRAR,R - ELETRONICOS,186,25,13665563.177274,
REDE_FISICA_SEM_LOJA93,COMPRAR,Q - BASICOS CONSTRUCAO,185,22,754331.761750,
REDE_FISICA_SEM_LOJA93,COMPRAR,M - MAQUINAS E MOTORES,142,21,3453180.990000,
REDE_FISICA_SEM_LOJA93,COMPRAR,F - FERRAMENTAS,138,21,7027943.467750,
REDE_FISICA_SEM_LOJA93,COMPRAR,A - AUTOMOTIVO,127,19,1330556.527250,
REDE_FISICA_SEM_LOJA93,COMPRAR,H - TUBOS E CONEXOES,112,26,494468.782500,
REDE_FISICA_SEM_LOJA93,COMPRAR,J - JARDINAGEM,59,7,192302.873000,
REDE_FISICA_SEM_LOJA93,COMPRAR,T - ARTIGOS DE EPOCA,44,6,108127.551850,3874.341600
REDE_FISICA_SEM_LOJA93,COMPRAR,Y - EPI,17,2,85462.538000,
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,I - ILUMINACAO,73,62,0.000000,93309.890269
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,E - MATERIAIS ELETRICOS,61,52,0.000000,43494.420400
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,B - UTILIDADES DOMESTICAS,57,48,0.000000,15.980000
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,D - ELETROS,50,44,0.000000,171268.695600
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,W - LOUCAS E PIAS,37,22,0.000000,
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,O - MOVEIS,31,20,0.000000,38595.375400
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,C - PISOS E REVESTIMENTOS,21,17,0.000000,21307.829760
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,U - METAIS E ACESSORIOS,20,12,0.000000,
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,H - TUBOS E CONEXOES,16,8,0.000000,
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,"G - PORTAS, JANELAS E FECHADURAS",14,9,0.000000,2484.420000
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,N - INDUSTRIAL E NEGOCIOS,14,12,0.000000,
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,V - DECORACAO,11,9,0.000000,2447.158400
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,"K - CAMA, MESA E BANHO",10,9,0.000000,
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,A - AUTOMOTIVO,5,3,0.000000,
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,M - MAQUINAS E MOTORES,5,4,0.000000,
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,F - FERRAMENTAS,2,2,0.000000,
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,Q - BASICOS CONSTRUCAO,2,2,0.000000,
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,R - ELETRONICOS,2,1,0.000000,
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,S - TINTAS E QUIMICOS,2,2,0.000000,
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,"L - INFANTIL, LAZER E PETS",1,1,0.000000,
REDE_FISICA_SEM_LOJA93,PROMOVER,B - UTILIDADES DOMESTICAS,239,159,1053531.580325,255925.753600
REDE_FISICA_SEM_LOJA93,PROMOVER,I - ILUMINACAO,125,89,1766571.199774,2052707.910747
REDE_FISICA_SEM_LOJA93,PROMOVER,E - MATERIAIS ELETRICOS,59,50,33571.335000,483108.281200
REDE_FISICA_SEM_LOJA93,PROMOVER,C - PISOS E REVESTIMENTOS,56,48,632921.273383,1231007.117788
REDE_FISICA_SEM_LOJA93,PROMOVER,D - ELETROS,56,51,945527.705937,2077937.210000
REDE_FISICA_SEM_LOJA93,PROMOVER,"K - CAMA, MESA E BANHO",54,41,562894.017593,17053.611600
REDE_FISICA_SEM_LOJA93,PROMOVER,O - MOVEIS,52,47,563796.523500,484942.851000
REDE_FISICA_SEM_LOJA93,PROMOVER,U - METAIS E ACESSORIOS,27,22,408128.486134,51772.944000
REDE_FISICA_SEM_LOJA93,PROMOVER,V - DECORACAO,25,18,67125.030000,3930.516000
REDE_FISICA_SEM_LOJA93,PROMOVER,"L - INFANTIL, LAZER E PETS",17,13,52418.667000,57159.087600
REDE_FISICA_SEM_LOJA93,PROMOVER,"G - PORTAS, JANELAS E FECHADURAS",12,10,45240.510000,6747.320000
REDE_FISICA_SEM_LOJA93,PROMOVER,F - FERRAMENTAS,7,5,25212.274500,
REDE_FISICA_SEM_LOJA93,PROMOVER,N - INDUSTRIAL E NEGOCIOS,5,4,23925.930000,
REDE_FISICA_SEM_LOJA93,PROMOVER,W - LOUCAS E PIAS,4,4,21210.315000,
REDE_FISICA_SEM_LOJA93,PROMOVER,M - MAQUINAS E MOTORES,3,2,49346.419500,
REDE_FISICA_SEM_LOJA93,PROMOVER,R - ELETRONICOS,3,2,0.000000,
REDE_FISICA_SEM_LOJA93,PROMOVER,Q - BASICOS CONSTRUCAO,2,2,2279.340000,
REDE_FISICA_SEM_LOJA93,PROMOVER,S - TINTAS E QUIMICOS,2,2,2737.980000,
REDE_FISICA_SEM_LOJA93,PROMOVER,A - AUTOMOTIVO,1,1,0.000000,
REDE_FISICA_SEM_LOJA93,PROMOVER,J - JARDINAGEM,1,1,2517.585000,
REDE_FISICA_SEM_LOJA93,PROMOVER,T - ARTIGOS DE EPOCA,1,1,1283.310000,2570.824800
REDE_FISICA_SEM_LOJA93,PROMOVER,Y - EPI,1,1,801.160500,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,D - ELETROS,236,107,23839710.266470,
