UNIVERSO_OPERACIONAL,COD_EMPRESA,CD_CIDADE,CD_ESTADO,CODIGO,DESCRICAO,NIVEL_1,CURVA_ABC_RECEITA,CURVA_ABC_ORIGEM,REPRICING_N_EMBALAGENS,REPRICING_FAIXA,SINAL_MARGEM_AUDITAVEL,SINAL_PRECO_LISTA,FLAG_CUSTO_VALIDO,MARGEM_BRUTA_PCT_COM_CUSTO,FLAG_MARGEM_NEGATIVA,REPRICING_RECEITA,ACAO_PRIMARIA,FAIXA_PRIORIDADE
REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,473195,PAINEL LED EMB. 18W BR QUAD.    MBIV,I - ILUMINACAO,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,120911.605218,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,418427,FOGAO PISO 5B VID. AGATA 5090 PTMBIV,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,120535.663500,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,429206,FOGAO PISO 4B PLUS           PT MBIV,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,120325.098250,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,441981,LUSTRE LED 3EM1 45W   RS LP-02R 5183,I - ILUMINACAO,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,40.103049,0,120154.660500,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,432628,"FRITAD.ELET 4,2L ULTRA TOUCH MF M220",D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,1,0,1,-15.027443,1,119820.728688,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,300761,DUCHA OPTIMA          6800W 549 M220,U - METAIS E ACESSORIOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,118698.270400,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,470050,LUSTRE LED 35W NE       LP-201D 5629,I - ILUMINACAO,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,36.537118,0,118348.860000,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,473195,PAINEL LED EMB. 18W BR QUAD.    MBIV,I - ILUMINACAO,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,116052.719431,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,432628,"FRITAD.ELET 4,2L ULTRA TOUCH MF M220",D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,1,0,1,-15.027443,1,115871.870969,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,441981,LUSTRE LED 3EM1 45W   RS LP-02R 5183,I - ILUMINACAO,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,40.103049,0,115206.945000,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,9,SALVADOR,BA,300807,DUCHA OPTIMA          5500W 548 M127,U - METAIS E ACESSORIOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,114791.250000,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,420161,"LAV.ROUPA 8,5 KG DIG. LES09  BR M220",D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,113697.255000,REPRECIFICAR,BAIXA
