ESCOPO_PRIORIZACAO,RANK_PRIORIDADE_ESCOPO,FAIXA_PRIORIDADE,UNIVERSO,COD_EMPRESA,CD_CIDADE,CD_ESTADO,TIPO_OPERACAO,FLAG_LOJA93,NIVEL_1,RECEITA_HISTORICA_TOTAL,RECEITA_RUPTURA_CRITICO,PART_RECEITA_RISCO_PCT,PART_RECEITA_RISCO_UNIVERSO_PCT,PARES_LOJA_PRODUTO,PARES_RUPTURA_CRITICO,PARES_EM_RUPTURA,PARES_CRITICO,PCT_PARES_RUPTURA_CRITICO,DIAS_COBERTURA_MEDIA_FINITA,DIAS_COBERTURA_MEDIANA_FINITA,PARES_DIAS_COBERTURA_INFINITO,ACAO_RECOMENDADA,EVIDENCIA_PRIORIZACAO
REDE_FISICA_SEM_LOJA93,30,MÉDIA,REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,REDE_FISICA,0,S - TINTAS E QUIMICOS,2936094.226669,2936094.226669,100.000000,0.891794,65,65,64,1,100.000000,0.307692,0.000000,0,Validar saldo físico/transferências e priorizar a reposição dos 65 pares em ruptura/crítico de S - TINTAS E QUIMICOS na loja 4 (RECIFE-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 2.936.094,23; 100,0% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,31,MÉDIA,REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,REDE_FISICA,0,U - METAIS E ACESSORIOS,3105633.796106,2925509.004106,94.200063,0.888578,144,138,136,2,95.833333,4.718909,0.000000,2,Validar saldo físico/transferências e priorizar a reposição dos 138 pares em ruptura/crítico de U - METAIS E ACESSORIOS na loja 4 (RECIFE-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 2.925.509,00; 95,8% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,32,MÉDIA,REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,REDE_FISICA,0,I - ILUMINACAO,4110103.532461,2892644.477913,70.378871,0.878596,210,182,174,8,86.666667,103.396815,0.000000,0,Validar saldo físico/transferências e priorizar a reposição dos 182 pares em ruptura/crítico de I - ILUMINACAO na loja 3 (SALVADOR-BA).,"Receita histórica associada aos pares em ruptura/crítico: R$ 2.892.644,48; 86,7% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,33,MÉDIA,REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,REDE_FISICA,0,B - UTILIDADES DOMESTICAS,2979340.029434,2884568.005351,96.819026,0.876143,522,493,475,18,94.444444,8.809443,0.000000,6,Validar saldo físico/transferências e priorizar a reposição dos 493 pares em ruptura/crítico de B - UTILIDADES DOMESTICAS na loja 6 (JOAO PESSOA-PB).,"Receita histórica associada aos pares em ruptura/crítico: R$ 2.884.568,01; 94,4% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,34,MÉDIA,REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,REDE_FISICA,0,C - PISOS E REVESTIMENTOS,2854980.207695,2849713.197695,99.815515,0.865557,305,301,295,6,98.688525,1.252320,0.000000,2,Validar saldo físico/transferências e priorizar a reposição dos 301 pares em ruptura/crítico de C - PISOS E REVESTIMENTOS na loja 4 (RECIFE-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 2.849.713,20; 98,7% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,35,MÉDIA,REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,REDE_FISICA,0,"K - CAMA, MESA E BANHO",2805486.284877,2766889.897152,98.624253,0.840400,351,340,335,5,96.866097,5.303336,0.000000,0,"Validar saldo físico/transferências e priorizar a reposição dos 340 pares em ruptura/crítico de K - CAMA, MESA E BANHO na loja 6 (JOAO PESSOA-PB).","Receita histórica associada aos pares em ruptura/crítico: R$ 2.766.889,90; 96,9% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,36,MÉDIA,REDE_FISICA_SEM_LOJA93,9,SALVADOR,BA,REDE_FISICA,0,C - PISOS E REVESTIMENTOS,2726745.128835,2726745.128835,100.000000,0.828207,325,325,325,0,100.000000,0.000000,0.000000,0,Validar saldo físico/transferências e priorizar a reposição dos 325 pares em ruptura/crítico de C - PISOS E REVESTIMENTOS na loja 9 (SALVADOR-BA).,"Receita histórica associada aos pares em ruptura/crítico: R$ 2.726.745,13; 100,0% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,37,MÉDIA,REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,REDE_FISICA,0,B - UTILIDADES DOMESTICAS,3121387.991373,2706562.027373,86.710208,0.822077,524,470,456,14,89.694656,23.966988,0.000000,6,Validar saldo físico/transferências e priorizar a reposição dos 470 pares em ruptura/crítico de B - UTILIDADES DOMESTICAS na loja 3 (SALVADOR-BA).,"Receita histórica associada aos pares em ruptura/crítico: R$ 2.706.562,03; 89,7% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,38,MÉDIA,REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,REDE_FISICA,0,U - METAIS E ACESSORIOS,2775498.526135,2684316.641985,96.714757,0.815320,144,139,132,7,96.527778,4.020801,0.000000,2,Validar saldo físico/transferências e priorizar a reposição dos 139 pares em ruptura/crítico de U - METAIS E ACESSORIOS na loja 6 (JOAO PESSOA-PB).,"Receita histórica associada aos pares em ruptura/crítico: R$ 2.684.316,64; 96,5% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,39,MÉDIA,REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,REDE_FISICA,0,E - MATERIAIS ELETRICOS,2544839.828056,2529354.638056,99.391506,0.768253,110,105,102,3,95.454545,12.772861,0.000000,0,Validar saldo físico/transferências e priorizar a reposição dos 105 pares em ruptura/crítico de E - MATERIAIS ELETRICOS na loja 3 (SALVADOR-BA).,"Receita histórica associada aos pares em ruptura/crítico: R$ 2.529.354,64; 95,5% dos pares da categoria na loja estão em ruptura/crítico."
