UNIVERSO,NIVEL_1,NIVEL_2,PARES_LOJA_PRODUTO,SKUS_DISTINTOS,LOJAS_DISTINTAS,RECEITA_HISTORICA_TOTAL,RECEITA_RUPTURA_CRITICO,RECEITA_EM_RUPTURA,RECEITA_CRITICO,PARES_RUPTURA_CRITICO,PARES_COM_RECEITA_HISTORICA,PARES_SEM_RECEITA_HISTORICA,PARES_DIAS_COBERTURA_FINITO,PARES_DIAS_COBERTURA_INFINITO,DIAS_COBERTURA_MEDIA_FINITA,DIAS_COBERTURA_MEDIANA_FINITA,DIAS_COBERTURA_P25_FINITA,DIAS_COBERTURA_P75_FINITA,ESTOQUE_PROJ_TOTAL,ESTOQUE_PROJ_MEDIANA,VENDA_MEDIA_MES_TOTAL,PARES_EM_RUPTURA,PARES_CRITICO,PARES_ATENCAO,PARES_SAUDAVEL,PARES_STATUS_SEM_VENDA,PCT_PARES_RUPTURA_CRITICO,PCT_PARES_EM_RUPTURA,PCT_PARES_CRITICO,PCT_PARES_DIAS_INFINITO,PCT_PARES_SEM_RECEITA_HISTORICA,PART_RECEITA_RISCO_PCT,PART_RECEITA_UNIVERSO_PCT,PART_RECEITA_RISCO_UNIVERSO_PCT,RECEITA_ETAPA3,TRANSACOES_ETAPA3_LINHAS_VENDA,SKUS_ATIVOS_ETAPA3,PART_RECEITA_ETAPA3_PCT,VAR_RECEITA_2025_VS_2024_ETAPA3_PCT,DIF_RECEITA_VS_ETAPA3,RANK_REPOSICAO
REDE_COMPLETA,U - METAIS E ACESSORIOS,"UB - TORNEIRAS, BICAS E MISTURADORES",253,23,11,5397893.774177,5289448.805027,5279872.101527,9576.703500,232,175,78,244,9,7.302400,0.000000,0.000000,0.000000,-30811.000000,-3.000000,3503.484618,227,5,7,5,9,91.699605,89.723320,1.976285,3.557312,30.830040,97.990976,1.118698,1.096223,5397893.774177,11636,22,1.118698,-8.329816,0.000000,19
REDE_COMPLETA,V - DECORACAO,VF - CORTINAS,611,60,11,5211270.258568,5192700.378568,5182150.083568,10550.295000,597,528,83,605,6,10.172384,0.000000,0.000000,0.000000,-32595.000000,-22.000000,3143.854666,594,3,4,4,6,97.708674,97.217676,0.490998,0.981997,13.584288,99.643659,1.080021,1.076172,5211270.258568,20534,60,1.080021,-54.618474,0.000000,20
REDE_COMPLETA,"G - PORTAS, JANELAS E FECHADURAS",GC - FECHADURAS,218,20,11,4819903.167750,4688400.537750,4678669.662750,9730.875000,193,167,51,213,5,19.659525,0.000000,0.000000,0.000000,-18016.000000,-10.000000,1980.290588,190,3,6,14,5,88.532110,87.155963,1.376147,2.293578,23.394495,97.271675,0.998911,0.971658,4819903.167750,11700,20,0.998911,-55.068638,0.000000,21
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BB - SERVIR - PRESENTES,2508,236,11,5794126.123399,4597387.426049,4292631.219549,304756.206500,2174,1735,773,2468,40,47.634949,0.000000,0.000000,0.000000,-122809.000000,0.000000,35906.075483,2054,120,54,240,40,86.682616,81.897927,4.784689,1.594896,30.821372,79.345657,1.200816,0.952795,5794126.123399,86554,236,1.200816,-66.671929,-0.000000,22
REDE_COMPLETA,D - ELETROS,DE - ELETROPORTATEIS PARA COZINHA,308,30,11,4676748.690465,4486915.932840,4413311.048340,73604.884500,282,166,142,292,16,22.454701,0.000000,0.000000,0.000000,-6301.000000,0.000000,1683.455405,280,2,2,8,16,91.558442,90.909091,0.649351,5.194805,46.103896,95.940925,0.969243,0.929900,4676748.690465,7454,30,0.969243,-83.272001,0.000000,23
REDE_COMPLETA,E - MATERIAIS ELETRICOS,EA - TOMADAS E INTERRUPTORES,473,43,11,4183192.302961,4162635.822961,4161245.727961,1390.095000,402,322,151,429,44,27.107736,0.000000,0.000000,0.000000,-498046.000000,-47.000000,30621.297554,398,4,5,22,44,84.989429,84.143763,0.845666,9.302326,31.923890,99.508593,0.866955,0.862694,4183192.302961,46278,43,0.866955,8.237572,-0.000000,24
REDE_COMPLETA,E - MATERIAIS ELETRICOS,ED - PROTECAO DE CIRCUITOS ELETRICOS,401,37,11,4121263.742732,4111319.717732,4109512.247732,1807.470000,364,319,82,373,28,3.979763,0.000000,0.000000,0.000000,-159896.000000,-37.000000,8707.754746,361,3,3,6,28,90.773067,90.024938,0.748130,6.982544,20.448878,99.758714,0.854120,0.852059,4121263.742732,46523,37,0.854120,-1.992644,0.000000,25
REDE_COMPLETA,I - ILUMINACAO,ID - JARDIM,229,21,11,4085497.519122,3975056.979122,3953703.234122,21353.745000,200,176,53,213,16,104.065835,0.000000,0.000000,0.000000,-54789.000000,-46.000000,5316.894799,195,5,3,10,16,87.336245,85.152838,2.183406,6.986900,23.144105,97.296766,0.846708,0.823819,4085497.519122,14730,21,0.846708,-24.233210,0.000000,26
REDE_COMPLETA,O - MOVEIS,OD - COZINHA E AREA DE SERVICO,508,48,11,3703443.096500,3390179.387000,3261740.951000,128438.436000,435,350,158,490,18,15.147901,0.000000,0.000000,0.000000,-3961.000000,0.000000,860.666374,411,24,28,27,18,85.629921,80.905512,4.724409,3.543307,31.102362,91.541285,0.767528,0.702605,3703443.096500,5925,48,0.767528,-64.847700,0.000000,27
REDE_COMPLETA,N - INDUSTRIAL E NEGOCIOS,NB - REFRIGERACAO E CONSERVACAO INDUSTRIAL,256,25,11,3182233.488000,3095436.802500,3075363.112500,20073.690000,237,174,82,240,16,1.656250,0.000000,0.000000,0.000000,-825.000000,-1.000000,214.842391,233,4,2,1,16,92.578125,91.015625,1.562500,6.250000,32.031250,97.272460,0.659509,0.641520,3182233.488000,988,25,0.659509,-30.001686,0.000000,28
