UNIVERSO,NIVEL_1,PARES_LOJA_PRODUTO,SKUS_DISTINTOS,LOJAS_DISTINTAS,RECEITA_HISTORICA_TOTAL,RECEITA_RUPTURA_CRITICO,RECEITA_EM_RUPTURA,RECEITA_CRITICO,PARES_RUPTURA_CRITICO,PARES_COM_RECEITA_HISTORICA,PARES_SEM_RECEITA_HISTORICA,PARES_DIAS_COBERTURA_FINITO,PARES_DIAS_COBERTURA_INFINITO,DIAS_COBERTURA_MEDIA_FINITA,DIAS_COBERTURA_MEDIANA_FINITA,DIAS_COBERTURA_P25_FINITA,DIAS_COBERTURA_P75_FINITA,ESTOQUE_PROJ_TOTAL,ESTOQUE_PROJ_MEDIANA,VENDA_MEDIA_MES_TOTAL,PARES_EM_RUPTURA,PARES_CRITICO,PARES_ATENCAO,PARES_SAUDAVEL,PARES_STATUS_SEM_VENDA,PCT_PARES_RUPTURA_CRITICO,PCT_PARES_EM_RUPTURA,PCT_PARES_CRITICO,PCT_PARES_DIAS_INFINITO,PCT_PARES_SEM_RECEITA_HISTORICA,PART_RECEITA_RISCO_PCT,PART_RECEITA_UNIVERSO_PCT,PART_RECEITA_RISCO_UNIVERSO_PCT,RECEITA_ETAPA3,TRANSACOES_ETAPA3_LINHAS_VENDA,SKUS_ATIVOS_ETAPA3,PART_RECEITA_ETAPA3_PCT,VAR_RECEITA_2025_VS_2024_ETAPA3_PCT,DIF_RECEITA_VS_ETAPA3,RANK_REPOSICAO
REDE_FISICA_SEM_LOJA93,S - TINTAS E QUIMICOS,648,65,10,18899431.247968,18818303.680468,18736332.658468,81971.022000,636,557,91,646,2,5.000891,0.000000,0.000000,0.000000,-179317.000000,-24.000000,11303.947705,622,14,7,3,2,98.148148,95.987654,2.160494,0.308642,14.043210,99.570741,5.740412,5.715771,18899431.247968,43300,65,5.740412,-34.483413,0.000000,8
REDE_FISICA_SEM_LOJA93,O - MOVEIS,1849,193,10,13649986.052500,12524674.802500,12205469.216500,319205.586000,1687,1522,327,1816,33,25.535218,0.000000,0.000000,0.000000,-25082.000000,-3.000000,5075.001500,1629,58,48,81,33,91.238507,88.101677,3.136831,1.784749,17.685235,91.755953,4.145974,3.804178,13649986.052500,34717,193,4.145974,-61.724111,0.000000,9
REDE_FISICA_SEM_LOJA93,E - MATERIAIS ELETRICOS,1104,111,10,11332398.322962,11270683.522962,11258162.797962,12520.725000,962,904,200,1014,90,17.416889,0.000000,0.000000,0.000000,-772952.000000,-67.000000,53205.522891,948,14,12,40,90,87.137681,85.869565,1.268116,8.152174,18.115942,99.455413,3.442042,3.423297,11332398.322962,123882,111,3.442042,-16.931508,-0.000000,10
REDE_FISICA_SEM_LOJA93,V - DECORACAO,1202,127,10,7907238.679841,7787998.590341,7751986.855841,36011.734500,1143,1079,123,1191,11,14.896890,0.000000,0.000000,0.000000,-80428.000000,-25.000000,8615.259487,1128,15,9,39,11,95.091514,93.843594,1.247920,0.915141,10.232945,98.492014,2.401702,2.365485,7907238.679841,45357,127,2.401702,-56.752232,0.000000,11
REDE_FISICA_SEM_LOJA93,F - FERRAMENTAS,208,21,10,7107013.035250,7003498.102750,6962618.137750,40879.965000,195,147,61,205,3,15.061375,0.000000,0.000000,0.000000,-11629.000000,-8.500000,1038.108143,189,6,2,8,3,93.750000,90.865385,2.884615,1.442308,29.326923,98.543482,2.158646,2.127205,7107013.035250,9579,21,2.158646,-27.682844,0.000000,12
REDE_FISICA_SEM_LOJA93,"G - PORTAS, JANELAS E FECHADURAS",386,39,10,5242924.637250,5070061.362750,5045334.702750,24726.660000,339,289,97,370,16,15.717209,0.000000,0.000000,0.000000,-19352.000000,-3.500000,2292.176954,327,12,11,20,16,87.823834,84.715026,3.108808,4.145078,25.129534,96.702923,1.592458,1.539953,5242924.637250,13480,39,1.592458,-57.599595,0.000000,13
REDE_FISICA_SEM_LOJA93,W - LOUCAS E PIAS,900,90,10,4733143.460500,4595682.920500,4563631.670500,32051.250000,827,698,202,862,38,4.800022,0.000000,0.000000,0.000000,-9394.000000,-2.000000,1416.836404,799,28,23,12,38,91.888889,88.777778,3.111111,4.222222,22.444444,97.095788,1.437620,1.395868,4733143.460500,9565,90,1.437620,-68.937700,0.000000,14
REDE_FISICA_SEM_LOJA93,N - INDUSTRIAL E NEGOCIOS,701,72,10,4181763.530000,4049811.017000,4023058.697000,26752.320000,668,502,199,686,15,4.572280,0.000000,0.000000,0.000000,-8278.000000,-1.000000,1500.087224,661,7,10,8,15,95.292439,94.293866,0.998573,2.139800,28.388017,96.844573,1.270146,1.230068,4181763.530000,8105,72,1.270146,-0.812368,0.000000,15
REDE_FISICA_SEM_LOJA93,M - MAQUINAS E MOTORES,210,21,10,3623899.009500,3354058.050000,3279007.410000,75050.640000,191,151,59,204,6,9.971402,0.000000,0.000000,0.000000,-1200.000000,0.000000,334.356319,178,13,9,4,6,90.952381,84.761905,6.190476,2.857143,28.095238,92.553850,1.100704,1.018744,3623899.009500,2263,21,1.100704,-75.776552,0.000000,16
REDE_FISICA_SEM_LOJA93,A - AUTOMOTIVO,189,19,10,1337411.032250,1329937.447250,1326851.707250,3085.740000,178,136,53,183,6,3.226279,0.000000,0.000000,0.000000,-21897.000000,-3.000000,1548.947261,173,5,3,2,6,94.179894,91.534392,2.645503,3.174603,28.042328,99.441190,0.406218,0.403948,1337411.032250,8099,19,0.406218,-44.945319,0.000000,17
REDE_FISICA_SEM_LOJA93,Q - BASICOS CONSTRUCAO,220,22,10,758460.571750,750343.662250,742721.397250,7622.265000,212,190,30,218,2,4.366543,0.000000,0.000000,0.000000,-41415.000000,-93.000000,3108.800764,207,5,1,5,2,96.363636,94.090909,2.272727,0.909091,13.636364,98.929818,0.230371,0.227905,758460.571750,12157,22,0.230371,-5.139887,0.000000,18
REDE_FISICA_SEM_LOJA93,"L - INFANTIL, LAZER E PETS",262,27,10,827989.295000,740821.413500,731613.543500,9207.870000,223,235,27,261,1,53.965986,0.000000,0.000000,0.000000,-8051.000000,-10.500000,1240.320837,218,5,11,27,1,85.114504,83.206107,1.908397,0.381679,10.305344,89.472342,0.251489,0.225013,827989.295000,7652,27,0.251489,-58.325395,0.000000,19
REDE_FISICA_SEM_LOJA93,H - TUBOS E CONEXOES,260,26,10,499932.132000,494444.832000,475317.927000,19126.905000,240,116,144,244,16,2.652162,0.000000,0.000000,0.000000,-16008.000000,0.000000,1145.533110,229,11,1,3,16,92.307692,88.076923,4.230769,6.153846,55.384615,98.902391,0.151847,0.150180,499932.132000,7981,26,0.151847,-53.907152,0.000000,20
REDE_FISICA_SEM_LOJA93,T - ARTIGOS DE EPOCA,57,6,10,221035.116017,219751.806017,219751.806017,0.000000,56,50,7,57,0,8.623482,0.000000,0.000000,0.000000,-11484.000000,-130.000000,3550.421459,56,0,0,1,0,98.245614,98.245614,0.000000,0.000000,12.280702,99.419409,0.067136,0.066746,221035.116017,1794,6,0.067136,-85.703156,-0.000000,21
REDE_FISICA_SEM_LOJA93,J - JARDINAGEM,70,7,10,199296.713000,191902.718000,188088.803000,3813.915000,66,63,7,70,0,7.894260,0.000000,0.000000,0.000000,-2997.000000,-12.000000,361.771764,61,5,2,2,0,94.285714,87.142857,7.142857,0.000000,10.000000,96.289956,0.060533,0.058288,199296.713000,3043,7,0.060533,-71.459219,0.000000,22
REDE_FISICA_SEM_LOJA93,Y - EPI,20,2,10,86263.698500,82028.093000,80091.599000,1936.494000,17,18,2,20,0,21.651308,0.000000,0.000000,0.000000,-4711.000000,-27.000000,345.111609,16,1,2,1,0,85.000000,80.000000,5.000000,0.000000,10.000000,95.089933,0.026201,0.024915,86263.698500,1817,2,0.026201,-62.970151,0.000000,23
