UNIVERSO,NIVEL_1,NIVEL_2,NIVEL_3,PARES_LOJA_PRODUTO,SKUS_DISTINTOS,LOJAS_DISTINTAS,RECEITA_HISTORICA_TOTAL,RECEITA_RUPTURA_CRITICO,RECEITA_EM_RUPTURA,RECEITA_CRITICO,PARES_RUPTURA_CRITICO,PARES_COM_RECEITA_HISTORICA,PARES_SEM_RECEITA_HISTORICA,PARES_DIAS_COBERTURA_FINITO,PARES_DIAS_COBERTURA_INFINITO,DIAS_COBERTURA_MEDIA_FINITA,DIAS_COBERTURA_MEDIANA_FINITA,DIAS_COBERTURA_P25_FINITA,DIAS_COBERTURA_P75_FINITA,ESTOQUE_PROJ_TOTAL,ESTOQUE_PROJ_MEDIANA,VENDA_MEDIA_MES_TOTAL,PARES_EM_RUPTURA,PARES_CRITICO,PARES_ATENCAO,PARES_SAUDAVEL,PARES_STATUS_SEM_VENDA,PCT_PARES_RUPTURA_CRITICO,PCT_PARES_EM_RUPTURA,PCT_PARES_CRITICO,PCT_PARES_DIAS_INFINITO,PCT_PARES_SEM_RECEITA_HISTORICA,PART_RECEITA_RISCO_PCT,PART_RECEITA_UNIVERSO_PCT,PART_RECEITA_RISCO_UNIVERSO_PCT,RECEITA_ETAPA3,TRANSACOES_ETAPA3_LINHAS_VENDA,SKUS_ATIVOS_ETAPA3,PART_RECEITA_ETAPA3_PCT,VAR_RECEITA_2025_VS_2024_ETAPA3_PCT,DIF_RECEITA_VS_ETAPA3,RANK_REPOSICAO
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BA - COZINHAR,BAC - PANELAS DE PRESSAO,65,6,11,2895544.440041,2860085.320541,2860085.320541,0.000000,63,55,10,65,0,6.243127,0.000000,0.000000,0.000000,-14056.000000,-64.000000,1425.688454,63,0,1,1,0,96.923077,96.923077,0.000000,0.000000,15.384615,98.775390,0.600093,0.592744,2895544.440041,4788,6,0.600093,147.799667,-0.000000,30
REDE_COMPLETA,D - ELETROS,DE - ELETROPORTATEIS PARA COZINHA,DEB - FRITADEIRAS E PANELAS ELETRICAS,111,11,11,2962592.085465,2784328.752840,2710723.868340,73604.884500,99,68,43,105,6,54.635930,0.000000,0.000000,0.000000,-2605.000000,-2.000000,1027.156840,97,2,1,5,6,89.189189,87.387387,1.801802,5.405405,38.738739,93.982859,0.613989,0.577044,2962592.085465,3235,11,0.613989,-86.893860,0.000000,31
REDE_COMPLETA,D - ELETROS,DA - AR E VENTILACAO,DAO - VENTILADORES DE COLUNA,66,6,11,2788536.009062,2783017.503062,2783017.503062,0.000000,59,37,29,63,3,742.210884,0.000000,0.000000,0.000000,-4254.000000,0.000000,525.030627,59,0,2,2,3,89.393939,89.393939,0.000000,4.545455,43.939394,99.802100,0.577916,0.576772,2788536.009062,2425,6,0.577916,-64.014158,0.000000,32
REDE_COMPLETA,E - MATERIAIS ELETRICOS,ED - PROTECAO DE CIRCUITOS ELETRICOS,EDA - DISJUNTORES,231,21,11,2466444.163732,2465421.673732,2465421.673732,0.000000,208,188,43,212,19,2.200472,0.000000,0.000000,0.000000,-146968.000000,-70.000000,7742.541420,208,0,3,1,19,90.043290,90.043290,0.000000,8.225108,18.614719,99.958544,0.511163,0.510952,2466444.163732,37320,21,0.511163,10.927366,0.000000,33
REDE_COMPLETA,E - MATERIAIS ELETRICOS,EA - TOMADAS E INTERRUPTORES,EAA - TOMADAS DE ENERGIA,88,8,11,2470113.255154,2455416.720154,2455416.720154,0.000000,77,67,21,80,8,16.217740,0.000000,0.000000,0.000000,-243850.000000,-241.000000,16552.018361,77,0,0,3,8,87.500000,87.500000,0.000000,9.090909,23.863636,99.405026,0.511924,0.508878,2470113.255154,14778,8,0.511924,-0.945715,0.000000,34
REDE_COMPLETA,"G - PORTAS, JANELAS E FECHADURAS",GC - FECHADURAS,GCC - FECHADURAS DIGITAIS,64,6,11,2520884.717750,2416732.172750,2416732.172750,0.000000,54,46,18,61,3,28.423462,0.000000,0.000000,0.000000,-3599.000000,-3.000000,296.302698,54,0,2,5,3,84.375000,84.375000,0.000000,4.687500,28.125000,95.868413,0.522446,0.500861,2520884.717750,2580,6,0.522446,-55.767390,0.000000,35
REDE_COMPLETA,O - MOVEIS,OA - SALA DE ESTAR E JANTAR,OAL - MESAS DE JANTAR,110,10,11,2316608.964250,2284458.384250,2281098.804250,3359.580000,104,106,4,107,3,13.010347,0.000000,0.000000,0.000000,-2063.000000,-7.500000,208.763494,102,2,1,2,3,94.545455,92.727273,1.818182,2.727273,3.636364,98.612171,0.480111,0.473447,2316608.964250,2508,10,0.480111,-67.608443,0.000000,36
REDE_COMPLETA,"G - PORTAS, JANELAS E FECHADURAS",GC - FECHADURAS,GCA - FECHADURAS PARA PORTA,154,14,11,2299018.450000,2271668.365000,2261937.490000,9730.875000,139,121,33,152,2,16.142418,0.000000,0.000000,0.000000,-14417.000000,-13.000000,1683.987890,136,3,4,9,2,90.259740,88.311688,1.948052,1.298701,21.428571,98.810358,0.476465,0.470797,2299018.450000,9120,14,0.476465,-54.294630,0.000000,37
REDE_COMPLETA,D - ELETROS,DC - ELETRODOMESTICOS PARA COZINHA,DCB - FOGOES COOKTOPS,121,11,11,2159790.118500,2086526.400000,2052906.649500,33619.750500,116,110,11,119,2,22.704650,0.000000,0.000000,0.000000,-1732.000000,-4.000000,200.146487,112,4,1,2,2,95.867769,92.561983,3.305785,1.652893,9.090909,96.607832,0.447610,0.432427,2159790.118500,2109,11,0.447610,-54.210254,0.000000,38
REDE_COMPLETA,D - ELETROS,DB - REFRIGERACAO,DBE - ADEGAS CLIMATIZADAS,154,14,11,2039106.868225,2008909.487725,1856254.450225,152655.037500,151,78,76,154,0,2.320779,0.000000,0.000000,0.000000,-798.000000,0.000000,198.121880,150,1,1,2,0,98.051948,97.402597,0.649351,0.000000,49.350649,98.519088,0.422599,0.416341,2039106.868225,991,14,0.422599,-21.492284,0.000000,39
