COD_EMPRESA,CODIGO,ESTOQUE_PROJ,VENDA_MEDIA_MES,DIAS_COBERTURA,RECEITA_TOTAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO,STATUS_ESTOQUE
9,439373,-1.0,1.0,-30.0,3149.8950000000004,COOKTOP 5B GAS       11479   PT M220,D - ELETROS,SALVADOR,BA,EM RUPTURA
9,439421,0.0,0.0,inf,,"REVEST.A 32X60 DAKOTA         2,30M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,439424,0.0,0.0,inf,,"REVEST.A 32X60 CHARME DECOR   2,30M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,439638,-85.0,7.083333333333333,-360.0,13957.545,VARAL CHAO ACO 123X56 ABA  PT 101180,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,439683,-3604.0,225.25,-480.0,68656.76416666668,ASSENTO SNT PLS OVAL UNIVERSAL    BR,U - METAIS E ACESSORIOS,SALVADOR,BA,EM RUPTURA
9,439714,-68.0,5.666666666666667,-360.0,18731.055,FURAD.3/8 IMP. 05BRC+CX  TM500CB 110,F - FERRAMENTAS,SALVADOR,BA,EM RUPTURA
9,439715,0.0,0.0,inf,,FURAD.3/8 IMP. 05BRC+CX  TM500CB 220,F - FERRAMENTAS,SALVADOR,BA,EM RUPTURA
9,439716,-22.0,2.4444444444444446,-270.0,1303.89,LENCOL SOLTE COLORE LISO S/ELAS SORT,"K - CAMA, MESA E BANHO",SALVADOR,BA,EM RUPTURA
9,440039,-656.64,109.44,-180.0,87613.8984,"PORCEL.A 120X120 EPO.ONIX M.LX2,88M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,440041,-426.8,38.800000000000004,-329.99999999999994,56262.36000000001,"PORCEL.A 60X120 EPO.CALA.OR.LX2,20M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,440045,0.0,0.0,inf,,"PORCEL.A 60X120 EPO.ONIX MI LX2,20M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,440046,0.0,0.0,inf,,"PORCEL.A 60X120 EPO.ONIX VD LX2,20M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,440053,0.0,0.0,inf,,"PORCEL.A 60X120 ESM.CONCRETE  2,20M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,440056,-125.4,13.933333333333334,-270.0,14150.367,"PORCEL.A 60X120 ESM.PIET.BG EX2,20M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,440062,0.0,0.0,inf,,"PORCEL.A 90X90 ESM.VENA.GR SAT2,40M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,440063,-230.0,16.428571428571427,-420.00000000000006,26525.31,"REVEST.A 45X90 FOLHAS BIANCO  2,00M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,440064,-72.0,10.285714285714286,-209.99999999999997,6762.210000000001,"REVEST.A 45X90 FOLHAS NUDE    2,00M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
